2025/06/16 02:09:23.237555 [Debug] app/log: Logger started
2025/06/16 02:09:23.237633 [Debug] app/proxyman/inbound: creating stream worker on 0.0.0.0:443
2025/06/16 02:09:23.237644 [Debug] app/proxyman/inbound: creating stream worker on 127.0.0.1:10808
2025/06/16 02:09:23.241086 [Info] transport/internet/websocket: listening TCP(for WS) on 0.0.0.0:443
2025/06/16 02:09:23.405536 [Info] transport/internet/tcp: listening TCP on 127.0.0.1:10808
2025/06/16 02:09:23.406548 [Info] transport/internet/udp: listening UDP on 127.0.0.1:10808
2025/06/16 02:09:23.406568 [Warning] core: Xray 25.6.8 started
2025/06/16 02:10:11.205190 [Debug] app/log: Logger closing
2025/06/16 02:10:58.801148 [Debug] app/log: Logger started
2025/06/16 02:10:58.801197 [Debug] app/proxyman/inbound: creating stream worker on 0.0.0.0:443
2025/06/16 02:10:58.801211 [Debug] app/proxyman/inbound: creating stream worker on 127.0.0.1:10808
2025/06/16 02:10:58.801630 [Info] transport/internet/websocket: listening TCP(for WS) on 0.0.0.0:443
2025/06/16 02:10:58.849143 [Info] transport/internet/tcp: listening TCP on 127.0.0.1:10808
2025/06/16 02:10:58.849171 [Info] transport/internet/udp: listening UDP on 127.0.0.1:10808
2025/06/16 02:10:58.849177 [Warning] core: Xray 25.6.8 started
2025/06/16 02:17:05.837520 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:05.956459 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:06.170081 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:06.216737 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:06.225231 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:06.263044 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:06.377584 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:06.483804 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:06.818756 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:07.143678 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:07.473603 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:07.599309 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
